name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"HANOVER GOLD CO INC"	"410799"	1991	28429	2006	28429	1	1991	2006	
"GLOBETECH VENTURES CORP"	"37958D"	1995	28432	2006	28432	1	1995	2006	
"STORAGE ENGINE INC"	"86210N"	1992	28433	2002	28433	1	1992	2002	
"BELL MICROPRODUCTS INC"	"078137"	1992	28435	2005	28435	1	1992	2005	0
"COMMERCIAL BANK/NY"	"201462"	1993	28437	2000	28437	1	1993	2000	
"CONCORD ENERGY INC"	"206212"	1993	28438	1997	28438	1	1993	1997	
"ENHANCED SERVICES INC"	"29331C"	1996	28439	1997	28439	1	1996	1997	
"NORWOOD PROMOTIONAL PRODS"	"669729"	1992	28442	1997	28442	1	1992	1997	1
"F & M BANCORPORATION INC"	"302371"	1993	28449	1998	28449	1	1993	1998	
"DONNKENNY INC"	"258006"	1992	28450	2003	28450	1	1992	2003	0
"INTL IMAGING MATLS INC"	"45968C"	1992	28452	1996	28452	1	1992	1996	
"MASISA SA -ADR OLD"	"574799"	1992	28453	2004	28453	1	1992	2004	
"RALSTON-CONTL BAKING GROUP"	"751262"	1992	28454	1994	28454	1	1992	1994	0
"ACERGY SA -ADR"	"00443E"	1992	28456	2006	28456	1	1992	2006	0
"FX ENERGY INC"	"302695"	1995	28460	2006	28460	1	1995	2006	
"TRESTLE HOLDINGS INC"	"89530U"	1992	28461	2006	28461	1	1992	2006	
"LIBBEY INC"	"529898"	1992	28462	2006	28462	1	1992	2006	1
"REXALL SUNDOWN INC"	"761648"	1992	28469	1999	28469	1	1992	1999	1
"THORNBURG MORTGAGE INC"	"885218"	1994	28471	2006	28471	1	1994	2006	0
"GLOBALINK INC"	"37936V"	1992	28472	1997	28472	1	1992	1997	0
"ST FRANCIS CAPITAL CORP"	"789374"	1993	28474	2002	28474	1	1993	2002	
"EMARKETPLACE INC"	"290783"	1992	28476	2000	28476	1	1992	2000	0
"FLIR SYSTEMS INC"	"302445"	1992	28477	2006	28477	1	1992	2006	1
"HEALTHDYNE TECHNOLOGIES INC"	"422206"	1992	28478	1997	28478	2	1992	1997	1
"JEFFERSON SVGS & LN ASSN F A"	"475085"	1993	28479	1993	28479	1	1993	1993	
"PRIMADONNA RESORTS INC"	"741548"	1992	28481	1998	28481	1	1992	1998	0
"ADVANCED MATERIALS GROUP INC"	"00753U"	1993	28483	2006	28483	1	1993	2006	
